,regionID,regionName,constellationID,constellationName,solarSystemID,solarSystemName
0,10000001,Derelik,20000001,San Matar,30000001,Tanoo
1,10000001,Derelik,20000001,San Matar,30000002,Lashesih
2,10000001,Derelik,20000001,San Matar,30000003,Akpivem
3,10000001,Derelik,20000001,San Matar,30000004,Jark
4,10000001,Derelik,20000001,San Matar,30000005,Sasta
5,10000001,Derelik,20000001,San Matar,30000006,Zaid
6,10000001,Derelik,20000001,San Matar,30000007,Yuzier
7,10000001,Derelik,20000001,San Matar,30000008,Nirbhi
8,10000001,Derelik,20000002,Anares,30000009,Sooma
9,10000001,Derelik,20000002,Anares,30000010,Chidah
10,10000001,Derelik,20000002,Anares,30000011,Shenela
11,10000001,Derelik,20000002,Anares,30000012,Asabona
12,10000001,Derelik,20000002,Anares,30000013,Onsooh
13,10000001,Derelik,20000002,Anares,30000014,Shamahi
14,10000001,Derelik,20000002,Anares,30000015,Sendaya
15,10000001,Derelik,20000002,Anares,30000016,Nazhgete
16,10000001,Derelik,20000003,Mamouna,30000017,Futzchag
17,10000001,Derelik,20000003,Mamouna,30000018,Kazna
18,10000001,Derelik,20000003,Mamouna,30000019,Podion
19,10000001,Derelik,20000003,Mamouna,30000020,Lilmad
20,10000001,Derelik,20000003,Mamouna,30000022,Jayneleb
21,10000001,Derelik,20000004,Kalangin,30000023,Fovihi
22,10000001,Derelik,20000004,Kalangin,30000024,Kiereend
23,10000001,Derelik,20000004,Kalangin,30000025,Rashy
24,10000001,Derelik,20000004,Kalangin,30000026,Ordize
25,10000001,Derelik,20000004,Kalangin,30000027,Psasa
26,10000001,Derelik,20000004,Kalangin,30000028,Eshtah
27,10000001,Derelik,20000004,Kalangin,30000029,Lachailes
28,10000001,Derelik,20000004,Kalangin,30000030,Kasrasi
29,10000001,Derelik,20000005,Hevaka,30000031,Mohas
30,10000001,Derelik,20000005,Hevaka,30000032,Hasiari
31,10000001,Derelik,20000005,Hevaka,30000033,Radima
32,10000001,Derelik,20000005,Hevaka,30000034,Alkez
33,10000001,Derelik,20000005,Hevaka,30000035,Nimambal
34,10000001,Derelik,20000005,Hevaka,30000036,Yishinoon
35,10000001,Derelik,20000005,Hevaka,30000037,Uplingur
36,10000001,Derelik,20000006,Sazdih,30000038,Dooz
37,10000001,Derelik,20000006,Sazdih,30000039,Bayuka
38,10000001,Derelik,20000006,Sazdih,30000040,Uzistoon
39,10000001,Derelik,20000006,Sazdih,30000041,Bairshir
40,10000001,Derelik,20000006,Sazdih,30000042,Moh
41,10000001,Derelik,20000006,Sazdih,30000043,Sari
42,10000001,Derelik,20000007,Ananah,30000044,Faspera
43,10000001,Derelik,20000007,Ananah,30000045,Jaymass
44,10000001,Derelik,20000007,Ananah,30000046,Mifrata
45,10000001,Derelik,20000007,Ananah,30000047,Majamar
46,10000001,Derelik,20000007,Ananah,30000048,Ihal
47,10000001,Derelik,20000007,Ananah,30000049,Camal
48,10000001,Derelik,20000007,Ananah,30000050,Fera
49,10000001,Derelik,20000008,Mossas,30000051,Juddi
50,10000001,Derelik,20000008,Mossas,30000052,Maspah
51,10000001,Derelik,20000008,Mossas,30000053,Ibaria
52,10000001,Derelik,20000008,Mossas,30000054,Shala
53,10000001,Derelik,20000008,Mossas,30000055,Zemalu
54,10000001,Derelik,20000008,Mossas,30000056,Khankenirdia
55,10000001,Derelik,20000009,Mekashtad,30000057,Nikh
56,10000001,Derelik,20000009,Mekashtad,30000058,Amphar
57,10000001,Derelik,20000009,Mekashtad,30000059,Salashayama
58,10000001,Derelik,20000009,Mekashtad,30000060,Janus
59,10000001,Derelik,20000009,Mekashtad,30000061,Agha
60,10000001,Derelik,20000009,Mekashtad,30000062,Iosantin
61,10000001,Derelik,20000009,Mekashtad,30000063,Orva
62,10000001,Derelik,20000009,Mekashtad,30000064,Zet
63,10000001,Derelik,20000009,Mekashtad,30000065,Akhrad
64,10000001,Derelik,20000009,Mekashtad,30000066,Pirohdim
65,10000001,Derelik,20000009,Mekashtad,30000067,Sharir
66,10000001,Derelik,20000009,Mekashtad,30000068,Usroh
67,10000001,Derelik,20000009,Mekashtad,30000069,Thiarer
68,10000001,Derelik,20000010,Bedaleya,30000070,Gomati
69,10000001,Derelik,20000010,Bedaleya,30000071,Jangar
70,10000001,Derelik,20000010,Bedaleya,30000072,Nakah
71,10000001,Derelik,20000010,Bedaleya,30000073,Irshah
72,10000001,Derelik,20000010,Bedaleya,30000074,Hasateem
73,10000001,Derelik,20000010,Bedaleya,30000075,Assah
74,10000001,Derelik,20000011,Orshed,30000076,Tidacha
75,10000001,Derelik,20000011,Orshed,30000077,Odlib
76,10000001,Derelik,20000011,Orshed,30000078,Jofan
77,10000001,Derelik,20000011,Orshed,30000079,Milu
78,10000001,Derelik,20000011,Orshed,30000080,Yadi
79,10000001,Derelik,20000011,Orshed,30000081,Buftiar
80,10000001,Derelik,20000012,Oraron,30000082,Jarizza
81,10000001,Derelik,20000012,Oraron,30000083,Ejahi
82,10000001,Derelik,20000012,Oraron,30000084,Asghatil
83,10000001,Derelik,20000012,Oraron,30000085,Bar
84,10000001,Derelik,20000012,Oraron,30000086,Sucha
85,10000001,Derelik,20000012,Oraron,30000087,Gelhan
86,10000001,Derelik,20000012,Oraron,30000088,Akeva
87,10000001,Derelik,20000013,Aguh,30000089,Sosa
88,10000001,Derelik,20000013,Aguh,30000090,Ilahed
89,10000001,Derelik,20000013,Aguh,30000091,Eshwil
90,10000001,Derelik,20000013,Aguh,30000092,Aranir
91,10000001,Derelik,20000013,Aguh,30000093,Ishkad
92,10000001,Derelik,20000013,Aguh,30000094,Hahyil
93,10000001,Derelik,20000014,Mal,30000095,Asilem
94,10000001,Derelik,20000014,Mal,30000096,Mahnagh
95,10000001,Derelik,20000014,Mal,30000097,Shach
96,10000001,Derelik,20000014,Mal,30000098,Kehrara
97,10000001,Derelik,20000014,Mal,30000099,Arena
98,10000001,Derelik,20000014,Mal,30000100,Timeor
99,10000001,Derelik,20000014,Mal,30000101,Uhtafal
100,10000001,Derelik,20000014,Mal,30000102,Dysa
101,10000001,Derelik,20000014,Mal,30000103,Serad
102,10000001,Derelik,20000014,Mal,30000104,Mahti
103,10000001,Derelik,20000014,Mal,30000105,Abha
104,10000001,Derelik,20000015,Subi,30000106,Shedoo
105,10000001,Derelik,20000015,Subi,30000107,Gamis
106,10000001,Derelik,20000015,Subi,30000108,Nieril
107,10000001,Derelik,20000015,Subi,30000109,Berta
108,10000001,Derelik,20000015,Subi,30000110,Bekirdod
109,10000001,Derelik,20000015,Subi,30000111,Hothomouh
110,10000001,Derelik,20000016,Joas,30000112,Arnola
111,10000001,Derelik,20000016,Joas,30000113,Astabih
112,10000001,Derelik,20000016,Joas,30000114,Ubtes
113,10000001,Derelik,20000016,Joas,30000115,Bimener
114,10000001,Derelik,20000016,Joas,30000116,Kenobanala
115,10000001,Derelik,20000016,Joas,30000117,Khabi
116,10000001,Derelik,20000016,Joas,30000118,Uanzin
117,10000002,The Forge,20000017,Ruomo,30000119,Itamo
118,10000002,The Forge,20000017,Ruomo,30000120,Mitsolen
119,10000002,The Forge,20000017,Ruomo,30000121,Jatate
120,10000002,The Forge,20000017,Ruomo,30000122,Mahtista
121,10000002,The Forge,20000017,Ruomo,30000123,Vaankalen
122,10000002,The Forge,20000017,Ruomo,30000124,Kylmabe
123,10000002,The Forge,20000017,Ruomo,30000125,Ahtulaima
124,10000002,The Forge,20000018,Anttanen,30000126,Geras
125,10000002,The Forge,20000018,Anttanen,30000127,Sirseshin
126,10000002,The Forge,20000018,Anttanen,30000128,Tuuriainas
127,10000002,The Forge,20000018,Anttanen,30000129,Unpas
128,10000002,The Forge,20000018,Anttanen,30000130,Shihuken
129,10000002,The Forge,20000018,Anttanen,30000131,Nomaa
130,10000002,The Forge,20000018,Anttanen,30030141,Uitra
131,10000002,The Forge,20000019,Ihilakken,30000132,Ansila
132,10000002,The Forge,20000019,Ihilakken,30000133,Hirtamon
133,10000002,The Forge,20000019,Ihilakken,30000134,Hykkota
134,10000002,The Forge,20000019,Ihilakken,30000135,Outuni
135,10000002,The Forge,20000019,Ihilakken,30000136,Ohmahailen
136,10000002,The Forge,20000019,Ihilakken,30000137,Eskunen
137,10000002,The Forge,20000019,Ihilakken,30000138,Ikuchi
138,10000002,The Forge,20000019,Ihilakken,30021407,Aokannitoh
139,10000002,The Forge,20000020,Kimotoro,30000139,Urlen
140,10000002,The Forge,20000020,Kimotoro,30000140,Maurasi
141,10000002,The Forge,20000020,Kimotoro,30000141,Kisogo
142,10000002,The Forge,20000020,Kimotoro,30000142,Jita
143,10000002,The Forge,20000020,Kimotoro,30000143,Niyabainen
144,10000002,The Forge,20000020,Kimotoro,30000144,Perimeter
145,10000002,The Forge,20000020,Kimotoro,30000145,New Caldari
146,10000002,The Forge,20000021,Okomon,30000146,Saisio
147,10000002,The Forge,20000021,Okomon,30000147,Abagawa
148,10000002,The Forge,20000021,Okomon,30000148,Jakanerva
149,10000002,The Forge,20000021,Okomon,30000149,Gekutami
150,10000002,The Forge,20000021,Okomon,30000150,Hurtoken
151,10000002,The Forge,20000021,Okomon,30000151,Uoyonen
152,10000002,The Forge,20000021,Okomon,30000152,Hampinen
153,10000002,The Forge,20000022,Onirvura,30000153,Poinen
154,10000002,The Forge,20000022,Onirvura,30000154,Liekuri
155,10000002,The Forge,20000022,Onirvura,30000155,Obanen
156,10000002,The Forge,20000022,Onirvura,30000156,Josameto
157,10000002,The Forge,20000022,Onirvura,30000158,Olo
158,10000002,The Forge,20000023,Ihatalo,30000159,Ikami
159,10000002,The Forge,20000023,Ihatalo,30000160,Reisen
160,10000002,The Forge,20000023,Ihatalo,30000161,Purjola
161,10000002,The Forge,20000023,Ihatalo,30000162,Maila
162,10000002,The Forge,20000023,Ihatalo,30000163,Akora
163,10000002,The Forge,20000023,Ihatalo,30000164,Messoya
164,10000002,The Forge,20000024,Okkelen,30000165,Ishisomo
165,10000002,The Forge,20000024,Okkelen,30000166,Airmia
166,10000002,The Forge,20000024,Okkelen,30000167,Sakkikainen
167,10000002,The Forge,20000024,Okkelen,30000168,Friggi
168,10000002,The Forge,20000024,Okkelen,30000169,Ihakana
169,10000002,The Forge,20000024,Okkelen,30000170,Vahunomi
170,10000002,The Forge,20000024,Okkelen,30000171,Otitoh
171,10000002,The Forge,20000024,Okkelen,30000172,Otomainen
172,10000002,The Forge,20000025,Otsabaira,30000173,Vattuolen
173,10000002,The Forge,20000025,Otsabaira,30000174,Onuse
174,10000002,The Forge,20000025,Otsabaira,30000175,Soshin
175,10000002,The Forge,20000025,Otsabaira,30000176,Keikaken
176,10000002,The Forge,20000025,Otsabaira,30000177,Ukkalen
177,10000002,The Forge,20000025,Otsabaira,30000178,Akkilen
178,10000002,The Forge,20000025,Otsabaira,30000179,Silen
179,10000002,The Forge,20000026,Aulari,30000180,Osmon
180,10000002,The Forge,20000026,Aulari,30000181,Korsiki
181,10000002,The Forge,20000026,Aulari,30000182,Inaya
182,10000002,The Forge,20000026,Aulari,30000183,Nuken
183,10000002,The Forge,20000026,Aulari,30000184,Uminas
184,10000002,The Forge,20000026,Aulari,30000185,Airaken
185,10000002,The Forge,20000026,Aulari,30000186,Oijanen
186,10000002,The Forge,20000026,Aulari,30000187,Wuos
187,10000002,The Forge,20000027,Etsala,30000188,Hentogaira
188,10000002,The Forge,20000027,Etsala,30000189,Kiainti
189,10000002,The Forge,20000027,Etsala,30000190,Vasala
190,10000002,The Forge,20000027,Etsala,30000191,Walvalin
191,10000002,The Forge,20000027,Etsala,30000193,Vouskiaho
192,10000002,The Forge,20000027,Etsala,30000194,Otsela
193,10000002,The Forge,20000028,Mivora,30000195,Tasti
194,10000002,The Forge,20000028,Mivora,30000196,Otosela
195,10000002,The Forge,20000028,Mivora,30000197,Uemon
196,10000002,The Forge,20000028,Mivora,30000198,Paala
197,10000002,The Forge,20000028,Mivora,30000199,Fuskunen
198,10000002,The Forge,20000028,Mivora,30000200,Akkio
199,10000002,The Forge,20000029,Orpana,30000201,Uchoshi
200,10000002,The Forge,20000029,Orpana,30000202,Mastakomon
201,10000002,The Forge,20000029,Orpana,30000203,Eruka
202,10000002,The Forge,20000029,Orpana,30000204,Ohkunen
203,10000002,The Forge,20000029,Orpana,30000205,Obe
204,10000002,The Forge,20000029,Orpana,30000207,Osaa
205,10000003,Vale of the Silent,20000030,U29-0S,30000208,LZ-6SU
206,10000003,Vale of the Silent,20000030,U29-0S,30000209,MC6O-F
207,10000003,Vale of the Silent,20000030,U29-0S,30000210,U54-1L
208,10000003,Vale of the Silent,20000030,U29-0S,30000211,B-588R
209,10000003,Vale of the Silent,20000030,U29-0S,30000212,NCGR-Q
210,10000003,Vale of the Silent,20000030,U29-0S,30000213,G-LOIT
211,10000003,Vale of the Silent,20000030,U29-0S,30000214,HE-V4V
212,10000003,Vale of the Silent,20000031,BUG6-X,30000215,N-HSK0
213,10000003,Vale of the Silent,20000031,BUG6-X,30000216,05R-7A
214,10000003,Vale of the Silent,20000031,BUG6-X,30000217,7-UH4Z
215,10000003,Vale of the Silent,20000031,BUG6-X,30000218,5ZO-NZ
216,10000003,Vale of the Silent,20000031,BUG6-X,30000219,FS-RFL
217,10000003,Vale of the Silent,20000031,BUG6-X,30000220,Y0-BVN
218,10000003,Vale of the Silent,20000031,BUG6-X,30000221,X97D-W
219,10000003,Vale of the Silent,20000032,OSJ7-I,30000222,0-R5TS
220,10000003,Vale of the Silent,20000032,OSJ7-I,30000223,H-UCD1
221,10000003,Vale of the Silent,20000032,OSJ7-I,30000224,7-K5EL
222,10000003,Vale of the Silent,20000032,OSJ7-I,30000225,H-5GUI
223,10000003,Vale of the Silent,20000032,OSJ7-I,30000226,FH-TTC
224,10000003,Vale of the Silent,20000032,OSJ7-I,30000227,FMBR-8
225,10000003,Vale of the Silent,20000033,DMXN-3,30000228,3HX-DL
226,10000003,Vale of the Silent,20000033,DMXN-3,30000229,UH-9ZG
227,10000003,Vale of the Silent,20000033,DMXN-3,30000230,NFM-0V
228,10000003,Vale of the Silent,20000033,DMXN-3,30000231,YXIB-I
229,10000003,Vale of the Silent,20000033,DMXN-3,30000232,MY-T2P
230,10000003,Vale of the Silent,20000033,DMXN-3,30000233,FA-DMO
231,10000003,Vale of the Silent,20000033,DMXN-3,30000234,GEKJ-9
232,10000003,Vale of the Silent,20000033,DMXN-3,30000235,Q-R3GP
233,10000003,Vale of the Silent,20000033,DMXN-3,30000236,N-5QPW
234,10000003,Vale of the Silent,20000033,DMXN-3,30000237,XV-8JQ
235,10000003,Vale of the Silent,20000034,I89-EP,30000238,WBR5-R
236,10000003,Vale of the Silent,20000034,I89-EP,30000239,4GYV-Q
237,10000003,Vale of the Silent,20000034,I89-EP,30000240,4-HWWF
238,10000003,Vale of the Silent,20000034,I89-EP,30000241,YMJG-4
239,10000003,Vale of the Silent,20000034,I89-EP,30000242,8TPX-N
240,10000003,Vale of the Silent,20000034,I89-EP,30000243,PM-DWE
241,10000003,Vale of the Silent,20000035,Z-DO53,30000244,K8X-6B
242,10000003,Vale of the Silent,20000035,Z-DO53,30000245,X445-5
243,10000003,Vale of the Silent,20000035,Z-DO53,30000246,KRUN-N
244,10000003,Vale of the Silent,20000035,Z-DO53,30000247,9OO-LH
245,10000003,Vale of the Silent,20000035,Z-DO53,30000248,V-OJEN
246,10000003,Vale of the Silent,20000035,Z-DO53,30000249,EIDI-N
247,10000003,Vale of the Silent,20000035,Z-DO53,30000250,P3EN-E
248,10000003,Vale of the Silent,20000035,Z-DO53,30000251,49-0LI
249,10000003,Vale of the Silent,20000035,Z-DO53,30000252,IPAY-2
250,10000003,Vale of the Silent,20000035,Z-DO53,30000253,DAYP-G
251,10000003,Vale of the Silent,20000036,YUT3-U,30000254,IFJ-EL
252,10000003,Vale of the Silent,20000036,YUT3-U,30000255,47L-J4
253,10000003,Vale of the Silent,20000036,YUT3-U,30000256,Q-L07F
254,10000003,Vale of the Silent,20000036,YUT3-U,30000257,E-D0VZ
255,10000003,Vale of the Silent,20000036,YUT3-U,30000258,6WW-28
256,10000003,Vale of the Silent,20000036,YUT3-U,30000259,A8A-JN
257,10000003,Vale of the Silent,20000036,YUT3-U,30000260,S-NJBB
258,10000003,Vale of the Silent,20000037,5YHF-H,30000261,T-GCGL
259,10000003,Vale of the Silent,20000037,5YHF-H,30000262,0MV-4W
260,10000003,Vale of the Silent,20000037,5YHF-H,30000263,TVN-FM
261,10000003,Vale of the Silent,20000037,5YHF-H,30000264,V-NL3K
262,10000003,Vale of the Silent,20000037,5YHF-H,30000265,AZBR-2
263,10000003,Vale of the Silent,20000037,5YHF-H,30000266,Z-8Q65
264,10000003,Vale of the Silent,20000037,5YHF-H,30000267,0J3L-V
265,10000003,Vale of the Silent,20000038,UK-MI6,30000268,H-NOU5
266,10000003,Vale of the Silent,20000038,UK-MI6,30000269,KX-2UI
